customer_id,city,building_type,season,meter_type,building_area_sqft,occupants,average_temperature_c,humidity_percent,appliance_count,avg_daily_usage_hours,solar_panel,previous_month_kwh,monthly_consumption_kwh
CUST01403,Biratnagar,Office,Autumn,Standard,2009.0,8.0,6.3,52.3,6.0,5.7,No,263.3,1107.2
CUST01138,Kathmandu,Office,Winter,Smart,5330.0,7.0,16.2,69.3,19.0,11.0,Yes,411.6,1842.1
CUST01602,Pokhara,Residential,Winter,Smart,1429.0,1.0,9.9,47.8,14.0,12.3,Yes,1637.9,1350.7
CUST00584,Biratnagar,Office,Summer,Smart,2167.0,9.0,34.1,83.8,15.0,8.1,Yes,450.5,1536.9
CUST00926,Chitwan,Commercial,Winter,Standard,,13.0,20.1,55.8,16.0,17.0,No,929.3,2301.8
CUST00066,,Residential,Spring,Standard,2479.0,12.0,8.7,64.6,7.0,9.2,No,318.8,1060.1
CUST00924,Kathmandu,Residential,Winter,Standard,4576.0,10.0,7.7,82.2,17.0,5.5,No,1587.4,1697.3
CUST00322,Kathmandu,Office,Spring,Smart,2096.0,12.0,26.1,70.3,14.0,7.4,No,1720.7,1891.2
CUST00306,Lalitpur,Residential,Spring,Smart,3262.0,2.0,13.1,59.1,16.0,3.1,No,515.8,1096.0
CUST01542,Lalitpur,Commercial,Autumn,Smart,4636.0,8.0,34.2,89.9,18.0,3.8,No,427.1,1529.1
CUST01772,Kathmandu,Office,Summer,Standard,4972.0,11.0,15.9,73.1,17.0,8.1,Yes,776.1,1904.3
CUST01402,Biratnagar,Residential,Winter,Smart,2396.0,14.0,29.7,76.6,7.0,7.2,Yes,453.5,1326.5
CUST00433,Kathmandu,Residential,Autumn,Standard,5935.0,13.0,32.1,30.7,3.0,10.0,No,1665.6,1642.9
CUST00695,Pokhara,Residential,Autumn,Standard,4031.0,1.0,20.1,79.3,14.0,5.9,No,546.8,1104.6
CUST01665,Pokhara,Residential,Spring,Smart,3076.0,13.0,7.1,30.1,10.0,8.2,No,1426.6,1411.8
CUST00112,Kathmandu,Residential,Winter,Smart,5981.0,7.0,17.9,74.4,9.0,8.3,No,1667.4,1736.7
CUST01023,Chitwan,Commercial,Summer,Standard,1695.0,2.0,25.2,36.7,3.0,17.8,No,1258.8,1809.1
CUST00030,Bhaktapur,Residential,Summer,Smart,3402.0,14.0,34.4,80.1,20.0,15.2,Yes,972.7,2070.7
CUST01883,Biratnagar,Residential,Winter,Standard,2089.0,10.0,22.4,44.9,12.0,11.6,No,596.9,1356.9
CUST00384,Lalitpur,Residential,Spring,Standard,5222.0,,19.7,58.5,7.0,11.3,No,1163.3,1469.7
CUST01473,Bhaktapur,Residential,Autumn,Smart,2142.0,12.0,28.6,36.3,20.0,2.1,No,1482.0,1448.0
CUST01874,Kathmandu,Residential,Summer,Standard,1172.0,10.0,28.3,44.0,8.0,8.6,No,1438.8,1452.8
CUST00307,Chitwan,Office,Spring,Smart,4537.0,15.0,13.6,35.2,19.0,10.9,No,1487.4,2055.8
CUST00057,Lalitpur,Residential,Spring,Smart,5034.0,1.0,22.1,46.5,10.0,8.5,No,1790.0,1556.4
CUST00772,Biratnagar,Residential,Spring,Smart,3727.0,10.0,13.6,49.2,19.0,2.0,No,930.5,1292.8
CUST00778,Bhaktapur,Office,Winter,Standard,1655.0,15.0,19.5,89.2,9.0,8.5,No,1664.8,1899.9
CUST01694,Bhaktapur,Office,Summer,Smart,3582.0,10.0,8.1,71.0,13.0,16.9,No,1184.3,2009.6
CUST01272,Kathmandu,Industrial,Summer,Standard,1680.0,14.0,6.2,36.8,4.0,7.9,No,1593.3,2104.2
CUST01577,Bhaktapur,Residential,Winter,Standard,2405.0,13.0,15.3,44.7,3.0,4.8,No,928.5,1296.7
CUST00421,Chitwan,Residential,Winter,Smart,5641.0,6.0,7.6,30.5,11.0,10.2,No,1790.9,1853.0
CUST00820,Lalitpur,Office,Spring,Standard,5310.0,15.0,14.4,60.2,8.0,14.1,No,1766.4,2027.0
CUST01511,Kathmandu,Residential,Autumn,Smart,2486.0,3.0,18.9,47.1,4.0,8.1,Yes,476.2,991.7
CUST01183,Bhaktapur,Residential,Summer,Smart,5892.0,3.0,23.6,35.7,11.0,2.2,No,528.1,1291.4
CUST00495,Biratnagar,Residential,Summer,Standard,1809.0,3.0,9.9,85.3,14.0,8.4,Yes,986.5,1135.0
CUST00325,Bhaktapur,Commercial,Autumn,Smart,5772.0,13.0,5.0,70.0,8.0,6.5,Yes,1625.6,1796.0
CUST01437,Lalitpur,Office,Summer,Smart,571.0,15.0,30.4,53.0,16.0,2.5,No,505.2,1592.2
CUST01134,Bhaktapur,Residential,Spring,Smart,852.0,5.0,31.9,82.4,3.0,17.6,No,1647.2,1366.7
CUST00679,Biratnagar,Residential,Autumn,Smart,5117.0,8.0,15.4,37.3,14.0,6.6,No,171.7,1500.3
CUST00904,Pokhara,Office,Spring,Smart,2796.0,8.0,24.0,45.4,4.0,15.5,Yes,1061.4,1638.5
CUST01367,Biratnagar,Residential,Spring,Smart,4683.0,10.0,12.9,46.3,4.0,3.2,Yes,1329.7,1045.0
CUST01152,Pokhara,Commercial,Spring,Standard,2061.0,12.0,20.1,42.6,7.0,2.4,No,591.1,1280.9
CUST01556,Pokhara,Residential,Winter,Smart,2881.0,9.0,17.5,76.9,,15.5,Yes,1359.8,1493.4
CUST00352,Pokhara,Residential,Winter,Smart,2199.0,6.0,,80.2,3.0,15.4,No,1757.8,1644.3
CUST01519,Kathmandu,Residential,Autumn,Smart,2733.0,10.0,26.2,64.4,18.0,14.7,No,1752.2,2028.0
CUST01464,Chitwan,Residential,Spring,Smart,5283.0,5.0,17.4,77.0,18.0,11.2,No,1265.9,1845.9
CUST00819,Kathmandu,Residential,Summer,Smart,3681.0,4.0,5.7,44.2,16.0,5.7,No,1775.3,1539.1
CUST00615,Biratnagar,Residential,Winter,Smart,3762.0,9.0,31.4,73.6,7.0,2.1,No,733.8,1231.8
CUST00071,Chitwan,Residential,Summer,Smart,962.0,9.0,25.0,76.5,15.0,8.6,No,952.1,1610.4
CUST00451,Bhaktapur,Residential,Summer,Smart,5906.0,9.0,16.0,87.1,3.0,6.8,No,940.9,1608.0
CUST01308,Bhaktapur,Office,Spring,Standard,1059.0,14.0,20.6,51.9,12.0,4.3,No,1158.3,1537.1
CUST01579,Lalitpur,Commercial,Spring,Standard,4501.0,3.0,27.8,66.9,20.0,3.2,No,793.3,1698.1
CUST01950,Lalitpur,Office,Summer,Smart,2892.0,13.0,8.5,47.9,15.0,16.5,No,955.2,2241.3
CUST01186,Chitwan,Residential,Winter,Smart,4718.0,13.0,27.7,78.5,4.0,14.2,No,245.1,1767.0
CUST00870,Kathmandu,Residential,Winter,Standard,3268.0,7.0,19.1,48.4,19.0,2.1,No,1410.8,1469.5
CUST00354,Chitwan,Residential,Autumn,Smart,5095.0,5.0,21.1,55.9,14.0,14.0,No,319.0,1706.2
CUST01469,Pokhara,Commercial,Winter,Standard,3166.0,12.0,22.4,89.1,19.0,9.8,No,549.9,1976.7
CUST00975,Lalitpur,Office,Winter,Standard,1120.0,3.0,12.3,76.7,15.0,3.1,No,666.3,1463.0
CUST01340,Pokhara,Office,Winter,Smart,4412.0,5.0,14.2,37.8,6.0,17.1,No,354.5,1742.1
CUST01551,Lalitpur,Office,Autumn,Smart,4073.0,13.0,13.7,88.3,17.0,14.2,No,1645.6,2262.0
CUST00125,Bhaktapur,Industrial,Autumn,Smart,5212.0,,33.3,32.6,15.0,16.2,No,917.0,2485.3
CUST00211,Bhaktapur,Industrial,Winter,Smart,2226.0,3.0,20.5,32.7,19.0,2.9,No,872.7,1780.2
CUST00949,Bhaktapur,Office,Summer,Smart,2658.0,13.0,29.8,86.5,3.0,7.0,No,977.5,1822.5
CUST01079,Biratnagar,Office,Summer,Smart,3625.0,13.0,6.6,37.7,2.0,12.6,Yes,208.3,1351.3
CUST01647,Biratnagar,Residential,Summer,Standard,5012.0,10.0,13.2,81.8,20.0,3.7,No,1113.9,1806.1
CUST01494,Bhaktapur,Commercial,Autumn,Standard,551.0,12.0,28.6,78.7,9.0,17.4,Yes,234.0,1586.1
CUST01112,Kathmandu,Residential,Spring,Standard,3422.0,13.0,18.3,39.5,14.0,11.0,Yes,171.1,1261.0
CUST00585,Pokhara,Office,Autumn,Standard,4632.0,8.0,26.5,54.9,3.0,3.9,No,1505.6,1689.2
CUST01334,Pokhara,Residential,Spring,Standard,2596.0,5.0,26.5,78.3,2.0,9.2,Yes,1015.3,970.8
CUST00353,Pokhara,Office,Summer,Smart,1529.0,15.0,14.9,44.9,11.0,13.7,Yes,178.7,1597.5
CUST01042,Pokhara,Residential,Spring,Smart,1844.0,12.0,32.5,72.1,5.0,8.7,No,1672.9,1343.6
CUST01755,Lalitpur,Residential,Summer,Smart,4417.0,8.0,31.2,38.1,20.0,5.8,No,653.3,1660.6
CUST01567,Chitwan,Residential,Spring,Smart,4244.0,7.0,30.1,68.8,10.0,13.0,No,814.2,1664.2
CUST00520,Lalitpur,Residential,Summer,Standard,1808.0,4.0,22.3,66.3,17.0,5.1,No,801.5,1389.3
CUST00070,Chitwan,Residential,Spring,Smart,1243.0,12.0,10.1,42.5,6.0,14.3,No,1201.9,1447.3
CUST00008,Bhaktapur,Residential,Spring,Smart,3583.0,12.0,32.5,34.0,2.0,16.2,No,1022.9,1722.8
CUST01631,Pokhara,Office,Summer,Smart,1190.0,4.0,9.1,38.1,14.0,9.1,No,1229.6,1526.1
CUST01081,Pokhara,Residential,Spring,Smart,3906.0,15.0,24.8,81.6,19.0,14.0,No,468.5,1887.8
CUST01561,Bhaktapur,Residential,Spring,Smart,1919.0,12.0,14.8,58.0,12.0,2.4,No,1230.6,1215.2
CUST01014,Biratnagar,Office,Summer,Smart,788.0,10.0,6.7,78.2,16.0,16.3,Yes,1798.8,1919.0
CUST01834,Biratnagar,Office,Spring,Standard,709.0,5.0,34.0,39.0,20.0,13.9,No,1396.6,1976.3
CUST00212,Kathmandu,Office,Spring,Smart,2506.0,13.0,16.1,48.0,7.0,8.5,No,1498.7,1720.0
CUST01011,Kathmandu,Residential,Summer,Smart,5116.0,14.0,11.3,67.5,18.0,5.0,No,1317.1,1824.2
CUST01568,,Office,Winter,Smart,3344.0,8.0,9.6,89.2,20.0,3.2,No,584.7,1685.4
CUST00100,Biratnagar,Office,Summer,Smart,3690.0,15.0,18.5,59.1,7.0,8.3,No,1282.5,1583.3
CUST01311,Biratnagar,Residential,Autumn,Smart,4488.0,4.0,12.3,89.3,6.0,5.8,No,925.3,1275.0
CUST00731,Chitwan,Office,Spring,Smart,3639.0,9.0,16.9,47.7,13.0,16.3,Yes,1341.1,1958.6
CUST00530,Kathmandu,Office,Spring,Smart,3942.0,15.0,12.1,69.2,2.0,9.8,No,302.9,1525.1
CUST00299,Chitwan,Commercial,Summer,Smart,4164.0,15.0,24.1,49.5,3.0,5.0,Yes,1611.0,1543.3
CUST01019,Pokhara,Residential,Winter,Standard,1923.0,8.0,22.0,43.0,12.0,8.0,No,96.6,1173.6
CUST01331,Bhaktapur,Office,Summer,Smart,1171.0,6.0,31.7,65.3,2.0,3.2,No,1247.1,1376.6
CUST00713,Pokhara,Residential,Summer,Standard,3685.0,10.0,15.1,39.1,19.0,10.6,Yes,1363.0,1785.2
CUST01330,Biratnagar,Residential,Winter,Standard,,11.0,5.6,86.5,12.0,6.1,No,1683.1,1347.3
CUST00651,Lalitpur,Industrial,Spring,Smart,5141.0,11.0,25.9,52.9,13.0,3.8,Yes,1667.3,1961.5
CUST00240,Chitwan,Residential,Summer,Smart,2035.0,12.0,14.7,76.0,3.0,15.9,No,1656.2,1920.0
CUST01962,Bhaktapur,Residential,Autumn,Smart,1028.0,13.0,25.9,86.0,15.0,2.7,Yes,980.6,1034.1
CUST01722,Biratnagar,Residential,Summer,Smart,4868.0,12.0,20.9,43.0,2.0,15.8,No,,1663.2
CUST01847,Pokhara,Residential,Winter,Smart,4026.0,14.0,8.5,49.7,7.0,10.4,No,1057.9,1660.6
CUST01877,,Residential,Winter,Smart,4170.0,8.0,10.9,74.9,18.0,5.2,No,1037.7,1598.4
CUST00395,Lalitpur,Residential,Summer,Standard,3355.0,1.0,10.1,52.6,7.0,14.7,No,1012.6,1478.5
CUST01354,Biratnagar,Office,Spring,Smart,1693.0,3.0,23.7,59.5,11.0,4.5,No,191.1,1196.9
CUST01230,Biratnagar,Commercial,Winter,Standard,5390.0,3.0,16.2,38.2,12.0,8.3,No,1400.4,1807.9
CUST01717,Biratnagar,Industrial,Autumn,Smart,4358.0,14.0,29.7,36.1,18.0,12.3,No,710.2,2361.0
CUST01145,Kathmandu,Office,Spring,Standard,4977.0,4.0,24.3,82.2,17.0,6.6,Yes,911.6,1667.4
CUST01621,Kathmandu,Residential,Summer,Smart,5706.0,10.0,12.3,33.9,4.0,5.7,No,694.6,1371.6
CUST00803,Biratnagar,Office,Spring,Smart,518.0,2.0,27.3,51.3,10.0,9.7,No,1319.9,1473.1
CUST00129,Bhaktapur,Office,Autumn,Smart,4015.0,15.0,11.1,66.9,2.0,6.4,No,444.9,1481.6
CUST00863,Lalitpur,Industrial,Spring,Smart,1969.0,4.0,34.0,54.6,4.0,2.8,No,1545.7,1587.0
CUST00276,,Commercial,Summer,Smart,2776.0,7.0,19.4,71.3,20.0,15.4,No,617.0,2084.2
CUST00535,Pokhara,Industrial,Winter,Smart,3701.0,2.0,18.8,71.3,19.0,16.7,No,654.2,2292.7
CUST01056,Bhaktapur,Residential,Summer,Standard,3765.0,13.0,,44.7,5.0,7.6,No,1682.3,1615.6
CUST01426,Kathmandu,Commercial,Summer,Smart,,12.0,23.6,34.9,6.0,2.2,No,188.6,1267.9
CUST01377,Lalitpur,Residential,Summer,Standard,5293.0,9.0,13.2,89.5,9.0,16.5,No,,1789.3
CUST01346,Lalitpur,Office,Summer,Standard,2084.0,10.0,5.9,51.1,19.0,2.7,No,1285.7,1683.5
CUST00527,Bhaktapur,Industrial,Summer,Smart,3347.0,10.0,21.5,54.4,5.0,16.1,No,1244.7,2359.0
CUST00486,Biratnagar,Residential,Autumn,Standard,4469.0,3.0,24.5,40.6,10.0,14.2,No,1217.5,1685.6
CUST01810,Pokhara,Residential,Winter,Smart,2228.0,15.0,11.1,65.0,16.0,7.9,No,1004.7,1713.5
CUST01971,Lalitpur,Office,Autumn,Standard,1332.0,14.0,12.7,55.1,3.0,5.8,No,313.3,1224.9
CUST01892,Chitwan,Commercial,Spring,Smart,1839.0,2.0,9.6,69.4,17.0,6.0,Yes,669.3,1224.3
CUST01560,Biratnagar,Commercial,Autumn,Standard,5593.0,4.0,23.0,39.0,10.0,9.0,No,1650.2,1853.2
CUST01610,Chitwan,Residential,Summer,Smart,5658.0,10.0,29.2,47.5,8.0,2.7,No,1201.6,1573.5
CUST01813,Pokhara,Commercial,Autumn,Smart,1648.0,7.0,28.2,75.2,16.0,16.6,No,514.2,1808.5
CUST01191,Pokhara,Industrial,Autumn,Smart,3682.0,11.0,17.3,75.4,19.0,16.5,No,734.7,2354.2
CUST00528,Pokhara,Office,Winter,Smart,5021.0,2.0,33.5,30.7,17.0,6.9,No,432.1,1844.5
CUST01236,Kathmandu,Residential,Spring,Standard,3618.0,15.0,12.2,74.6,9.0,10.1,No,755.8,1393.1
CUST00531,Biratnagar,Residential,Autumn,Standard,4980.0,7.0,26.8,66.7,20.0,7.9,No,83.6,1465.0
CUST00901,Biratnagar,Residential,Summer,Smart,3801.0,4.0,33.4,44.9,14.0,13.0,No,719.6,1779.6
CUST01871,Bhaktapur,Commercial,Autumn,Smart,5076.0,5.0,23.3,40.4,9.0,2.9,No,725.1,1255.7
CUST01259,Pokhara,Office,Summer,Smart,5621.0,15.0,12.5,57.2,13.0,6.3,No,977.1,2002.7
CUST00818,Kathmandu,Industrial,Winter,Smart,4258.0,6.0,20.2,39.9,12.0,2.3,No,89.7,1777.8
CUST00908,Biratnagar,Commercial,Spring,Standard,2225.0,13.0,28.0,30.5,20.0,13.7,No,332.5,1890.7
CUST01041,Bhaktapur,Residential,Spring,Smart,4957.0,,21.8,55.0,5.0,11.5,No,456.8,1282.0
CUST01454,Biratnagar,Commercial,Winter,Smart,5365.0,12.0,19.3,55.2,14.0,7.4,Yes,1118.7,1797.3
CUST00680,Biratnagar,Office,Autumn,Smart,1416.0,3.0,15.4,78.6,13.0,10.4,No,1309.6,1800.6
CUST01165,Pokhara,Commercial,Spring,Smart,2379.0,4.0,31.8,63.9,14.0,8.1,No,734.7,1497.5
CUST01537,,Residential,Autumn,Smart,951.0,2.0,19.8,43.8,18.0,10.8,No,1477.9,1581.9
CUST00116,Lalitpur,Office,Autumn,Smart,4048.0,3.0,24.3,57.5,15.0,10.6,No,1411.7,1878.8
CUST00966,Lalitpur,Commercial,Winter,Smart,3470.0,3.0,28.1,39.9,15.0,15.3,No,1546.3,2065.7
CUST00343,Kathmandu,Residential,Summer,Standard,1104.0,13.0,7.3,84.9,16.0,7.7,No,1720.7,1726.7
CUST01692,Biratnagar,Industrial,Summer,Standard,880.0,6.0,27.5,66.8,8.0,11.0,No,168.3,1837.3
CUST01942,Kathmandu,Office,Spring,Standard,4159.0,11.0,34.6,79.0,18.0,8.3,No,409.6,1859.2
CUST01997,Kathmandu,Residential,Spring,Standard,1268.0,10.0,23.2,43.0,20.0,8.9,No,1732.7,1747.4
CUST00255,Lalitpur,Residential,Winter,Smart,4906.0,,34.6,61.7,15.0,10.6,No,309.9,1575.7
CUST01827,Biratnagar,Residential,Winter,Smart,3648.0,5.0,12.3,55.6,10.0,5.8,No,571.5,1375.2
CUST01832,Kathmandu,Commercial,Winter,Standard,3771.0,1.0,31.5,73.3,11.0,5.0,No,455.8,1466.2
CUST01951,Chitwan,Office,Summer,Standard,5637.0,5.0,30.0,33.3,19.0,8.5,No,1665.7,2178.7
CUST01091,Bhaktapur,Industrial,Winter,Smart,3638.0,11.0,12.5,71.7,3.0,2.5,No,1376.2,1825.7
CUST01275,Kathmandu,Residential,Summer,Standard,5693.0,1.0,24.5,66.5,7.0,16.4,No,1780.2,1982.0
CUST00121,Lalitpur,Residential,Spring,Smart,4075.0,7.0,21.6,51.4,16.0,9.9,No,458.4,1372.1
CUST01944,Kathmandu,Residential,Autumn,Standard,4316.0,14.0,13.7,44.2,7.0,4.5,No,565.6,1312.5
CUST00580,Pokhara,Office,Summer,Standard,1886.0,10.0,12.1,43.4,18.0,3.2,No,250.7,1493.1
CUST01302,Chitwan,Industrial,Summer,Smart,5399.0,13.0,32.5,50.6,5.0,9.9,No,1708.0,2420.5
CUST00257,Bhaktapur,Commercial,Summer,Smart,3186.0,14.0,30.9,56.4,14.0,14.4,No,454.0,2033.5
CUST00809,Chitwan,Office,Summer,Standard,5449.0,10.0,25.9,38.7,20.0,16.9,No,356.2,2325.0
CUST00136,Biratnagar,Industrial,Autumn,Smart,3235.0,12.0,8.2,45.4,16.0,11.6,No,586.9,2048.1
CUST01111,Pokhara,Commercial,Summer,Smart,5605.0,12.0,6.8,67.4,19.0,10.8,No,1109.0,2063.4
CUST01582,Biratnagar,Residential,Spring,Standard,5062.0,3.0,13.0,37.3,20.0,10.9,No,1278.0,1879.0
CUST00940,Lalitpur,Residential,Winter,Smart,5390.0,12.0,8.9,52.4,7.0,13.2,No,1301.4,1770.0
CUST00465,Lalitpur,Office,Autumn,Standard,5223.0,7.0,11.2,36.9,13.0,3.7,No,409.1,1547.1
CUST00439,Pokhara,Residential,Spring,Smart,3557.0,5.0,19.9,41.9,9.0,15.4,No,1635.0,1732.0
CUST01345,Chitwan,Residential,Winter,Standard,4356.0,7.0,10.0,64.9,,7.9,No,1557.5,1411.7
CUST01048,Lalitpur,Residential,Winter,Standard,2893.0,,14.8,85.6,15.0,12.3,No,1130.0,1791.4
CUST00931,Lalitpur,Residential,Summer,Standard,4353.0,4.0,12.9,41.0,16.0,6.6,No,1232.1,1769.3
CUST00110,Bhaktapur,Residential,Autumn,Smart,1659.0,10.0,13.2,44.8,16.0,10.2,No,1681.1,1572.4
CUST00362,Biratnagar,Commercial,Spring,Standard,648.0,13.0,32.0,54.8,14.0,6.6,No,552.6,1451.4
CUST00351,Kathmandu,Residential,Summer,Smart,4343.0,15.0,17.1,32.6,16.0,8.4,No,1259.4,1750.9
CUST01633,Chitwan,Residential,Winter,Smart,1995.0,8.0,10.0,89.5,18.0,16.9,No,165.7,1927.9
CUST01757,Biratnagar,Residential,Autumn,Smart,2984.0,12.0,10.2,67.8,17.0,17.9,Yes,1138.6,1755.7
CUST00621,Biratnagar,Residential,Winter,Standard,5177.0,7.0,29.1,64.6,11.0,11.6,No,1529.6,1823.0
CUST00234,Bhaktapur,Residential,Summer,Standard,5819.0,11.0,13.7,72.0,18.0,4.6,No,1139.9,2002.6
CUST01526,Pokhara,Commercial,Autumn,Smart,5719.0,9.0,31.0,87.5,2.0,14.9,No,993.0,1910.3
CUST01428,Bhaktapur,Residential,Spring,Standard,1944.0,10.0,20.7,55.6,11.0,4.5,Yes,1718.9,1139.9
CUST00693,Chitwan,Office,Autumn,Smart,3958.0,9.0,29.8,63.9,19.0,3.2,No,1774.9,1861.7
CUST01926,Bhaktapur,Commercial,Winter,Smart,523.0,8.0,26.5,57.3,19.0,10.3,No,1673.8,1726.8
CUST00789,Kathmandu,Residential,Autumn,Smart,5904.0,12.0,9.9,64.8,20.0,16.3,No,488.0,2021.9
CUST01343,Chitwan,Residential,Winter,Smart,1889.0,11.0,11.2,30.8,4.0,16.9,Yes,1058.0,1393.3
CUST00882,Bhaktapur,Residential,Summer,Smart,1060.0,3.0,13.0,78.8,4.0,16.2,No,1093.3,1396.2
CUST00757,Biratnagar,Commercial,Autumn,Standard,2112.0,1.0,10.7,38.4,15.0,16.8,No,694.2,1711.6
CUST00480,Pokhara,Commercial,Autumn,Standard,3153.0,1.0,30.3,53.0,20.0,13.1,Yes,557.0,1700.4
CUST00553,Biratnagar,Office,Summer,Standard,2547.0,1.0,7.1,48.3,8.0,14.4,Yes,87.5,1281.2
CUST00248,Biratnagar,Residential,Autumn,Smart,3700.0,3.0,33.3,68.5,15.0,9.3,No,86.8,1401.5
CUST01745,Bhaktapur,Residential,Winter,Smart,4550.0,1.0,31.1,83.7,2.0,5.2,Yes,1420.1,1225.8
CUST00345,Pokhara,Residential,Autumn,Smart,5416.0,9.0,25.6,43.7,17.0,11.3,No,1049.5,1966.6
CUST01860,Lalitpur,Industrial,Autumn,Smart,1936.0,3.0,20.3,84.2,18.0,7.6,Yes,807.7,1639.3
CUST00568,Pokhara,Residential,Spring,Standard,3696.0,8.0,29.7,41.6,10.0,2.5,No,194.5,994.9
CUST00571,Biratnagar,Residential,Spring,Smart,5325.0,4.0,13.7,57.9,10.0,17.1,No,283.3,1585.0
CUST00308,Lalitpur,Residential,Summer,Smart,1072.0,12.0,13.1,80.6,13.0,6.6,No,1775.6,1732.3
CUST01783,Pokhara,Commercial,Spring,Smart,3627.0,2.0,7.2,54.7,8.0,14.7,No,1636.5,1697.5
CUST00213,Biratnagar,Commercial,Summer,Smart,766.0,8.0,27.2,61.9,11.0,2.8,No,1283.5,1431.8
CUST00021,Biratnagar,Residential,Summer,Smart,3931.0,10.0,14.6,66.0,3.0,8.9,Yes,669.8,1291.3
CUST00905,Lalitpur,Residential,Winter,Standard,5865.0,15.0,27.8,33.1,10.0,5.1,No,1306.2,1617.5
CUST00232,Pokhara,Office,Spring,Standard,4857.0,7.0,20.4,58.2,12.0,17.5,No,1537.8,2025.3
CUST00415,Chitwan,Residential,Summer,Smart,1248.0,3.0,21.2,66.3,3.0,11.7,No,1188.0,1324.4
CUST01352,Bhaktapur,Residential,Summer,Smart,3864.0,5.0,32.2,68.1,12.0,4.8,No,754.9,1472.1
CUST00282,Biratnagar,Residential,Summer,Smart,1978.0,1.0,27.0,31.2,15.0,16.3,No,893.4,1664.1
CUST01968,Chitwan,Residential,Autumn,Standard,937.0,3.0,11.9,51.1,3.0,9.7,No,524.7,917.4
CUST01240,Bhaktapur,Residential,Spring,Standard,1406.0,8.0,34.4,88.8,13.0,7.4,No,1303.3,1411.6
CUST00434,Biratnagar,Residential,Winter,Smart,801.0,9.0,31.3,57.5,11.0,11.0,Yes,939.2,1340.8
CUST00050,Pokhara,Residential,Summer,Smart,589.0,,31.2,42.1,13.0,11.1,No,1551.4,1603.3
CUST00298,Pokhara,Residential,Summer,Standard,1946.0,10.0,32.3,45.1,4.0,6.6,Yes,1270.1,1130.4
CUST00023,Pokhara,Commercial,Spring,Smart,,15.0,25.7,71.7,16.0,17.1,No,650.7,2070.3
CUST00483,Biratnagar,Industrial,Spring,Smart,4885.0,11.0,,87.1,13.0,7.5,No,1494.6,2390.9
CUST00707,Biratnagar,Office,Autumn,Standard,2280.0,13.0,29.7,75.3,13.0,8.4,No,1391.0,1762.2
CUST00775,Kathmandu,Residential,Spring,Smart,2524.0,14.0,5.6,67.4,4.0,14.0,No,483.1,1288.1
CUST01126,Lalitpur,Commercial,Summer,Standard,679.0,11.0,6.0,76.5,8.0,9.4,No,400.1,1256.1
CUST01125,Kathmandu,Residential,Autumn,Smart,4946.0,9.0,13.8,40.5,17.0,13.7,No,1472.2,2083.3
CUST01353,Pokhara,Residential,Winter,Standard,545.0,2.0,28.5,56.6,15.0,12.6,No,494.6,1565.0
CUST00174,Chitwan,Office,Winter,Smart,3335.0,6.0,8.2,66.5,20.0,3.7,No,863.4,1618.9
CUST00810,Kathmandu,Residential,Autumn,Standard,,3.0,16.6,44.0,13.0,15.6,Yes,1620.9,1641.9
